source,timestamp,reason
2N7002K_TGS_17_alldatasheet.pdf,2025-07-01T00:43:27.845487,No structured items could be extracted after two attempts (table-only and full-text).
KT24-1A-40L-SMD_Meder_414_componentsearchengine.pdf,2025-07-01T00:43:42.441816,No structured items could be extracted after two attempts (table-only and full-text).
MMBT2222A-AU_PANJIT_516_componentsearchengine.pdf,2025-07-01T01:34:26.981462,No structured items could be extracted after two attempts (table-only and full-text).
MMBT3904-AU_PANJIT_6_componentsearchengine.pdf,2025-07-01T13:20:23.261996,No structured items could be extracted after two attempts (table-only and full-text).
SI1024X-T1-E3_VishaySiliconix_16_componentsearchengine.pdf,2025-07-01T14:32:21.110989,No structured items could be extracted after two attempts (table-only and full-text).
"SSM6P39TU,LF_Toshiba_49_componentsearchengine.pdf",2025-07-01T22:46:03.513255,No structured items could be extracted after two attempts (table-only and full-text).
KC3225A125.000C20E00.pdf,2025-07-01T23:50:48.600160,No structured items could be extracted after two attempts (table-only and full-text).
2N7002K_VISHAY_0_alldatasheet.pdf,2025-07-02T00:35:33.063203,No structured items could be extracted after two attempts (table-only and full-text).
AO5404EL_Alpha%26OmegaSemiconductor_21_componentsearchengine.pdf,2025-07-02T00:54:03.241008,No structured items could be extracted after two attempts (table-only and full-text).
VF261BL-106.25MHZ_CTSValpeyCorporation_19_componentsearchengine.pdf,2025-07-02T00:59:23.755871,No structured items could be extracted after two attempts (table-only and full-text).
BTN3904N3_CYSTEKEC_0_alldatasheet.pdf,2025-07-02T02:09:37.529456,No structured items could be extracted after two attempts (table-only and full-text).
